Time,Open,High,Low,Close,Volume
2017.10.16,0.78846,0.78888,0.78423,0.78491,63937
2017.10.17,0.78492,0.786,0.78174,0.78439,69416
2017.10.18,0.78435,0.78572,0.78182,0.78449,61440
2017.10.19,0.78449,0.78833,0.78401,0.78768,70053
2017.10.20,0.78766,0.78814,0.78077,0.7813,65299
2017.10.23,0.78184,0.78339,0.77954,0.78051,63705
2017.10.24,0.7805,0.7824,0.77697,0.77747,69934
2017.10.25,0.77749,0.77832,0.76893,0.77021,69604
2017.10.26,0.77022,0.77181,0.76545,0.76577,71695
2017.10.27,0.76577,0.76774,0.76245,0.76739,74430
2017.10.30,0.76731,0.76902,0.76548,0.76865,65183
2017.10.31,0.76852,0.76981,0.7639,0.76548,69745
2017.11.01,0.76548,0.7692,0.76475,0.76753,74983
2017.11.02,0.76754,0.77289,0.7672,0.7713,74175
2017.11.03,0.7713,0.77149,0.76383,0.7648,59761
2017.11.06,0.76471,0.76911,0.76376,0.76902,58320
2017.11.07,0.76902,0.76998,0.76265,0.7643,65431
2017.11.08,0.7643,0.7684,0.76351,0.76762,64763
2017.11.09,0.76752,0.76929,0.76486,0.76782,64066
2017.11.10,0.76782,0.76942,0.76531,0.76573,63577
2017.11.13,0.76492,0.76648,0.76158,0.76209,54930
2017.11.14,0.76226,0.76491,0.76079,0.7629,62024
2017.11.15,0.76283,0.76316,0.75725,0.75875,66010
2017.11.16,0.75873,0.76085,0.75686,0.75861,59244
2017.11.17,0.7586,0.76072,0.75352,0.75632,64582
2017.11.20,0.75628,0.75729,0.75431,0.75489,59675
2017.11.21,0.75483,0.75901,0.75312,0.75761,71439
2017.11.22,0.75757,0.76226,0.75544,0.76149,66338
2017.11.23,0.7615,0.76377,0.76028,0.76245,66734
2017.11.24,0.76242,0.76307,0.76058,0.76133,67610
2017.11.27,0.76143,0.76439,0.75923,0.76012,61750
2017.11.28,0.75993,0.76193,0.75872,0.75936,65285
